LEMMA	POS	SAGEDUS	TASE
jätkuma	V	180521	A2
jätkuvalt	D	77310	B1
jätma	V	585332	A2
jää	S	55621	A1
jääkülm	A	2721	B1
jääma	V	2002474	A2
jäätis	S	22243	A2
jõgi	S	128621	A1
jõud	S	268634	A2
jõudma	V	948049	A2
jõulud	S	46759	A2
jõulukuusk	S	3573	B1
jõulupuu	S	5617	B1
jõusaal	S	15848	B1
ka	D	8847133	A1
kaabel	S	29233	B1
kaabu	S	3327	B1
kaal	S	102774	A2
kaalikas	S	3705	A2
kaaluma	V	116878	A2
kaamera	S	95055	A2
kaart	S	171466	A1
kaas	S	45147	B1
kaasa	D	523671	A1
kaasa aitama	V		B1
kaasa elama	V		B1
kaasa tegema	V		B1
kaasa tooma	V		B1
kaasa tundma	V		B1
kaasa võtma	V		B1
kaasaegne	A	70738	B1
kaasas	D	82294	A2
kaaslane	S	63158	A2
kabiin	S	8400	B1
kabinet	S	26968	A2
kadripäev	S	1331	B1
kaduma	V	286556	A2
kaebama	V	49475	B1
kael	S	68552	A2
kaev	S	14857	B1
kaevama	V	12061	B1
kagu	S	9537	B1
kahanema	V	29680	B1
kahekesi	D	18967	B1
kahekordne	A	21315	B1
kahekorruseline	A	6853	B1
kaheksa	N	113818	A1
kaheksakümmend	N	2400	A1
kaheksakümnes	O	4668	A2
kaheksas	O	17655	A1
kaheksasada	N	617	A1
kaheksateist	N	2042	A1
kaheksateistkümnes	O	448	A2
kahekümnes	O	4367	A2
kaheteistkümnes	O	2263	A2
kahetoaline	A	3843	B1
kahetsema	V	29906	B1
kahju	S	93503	A2
kahjuks	D	218852	A2
kahjulik	A	35717	B1
kahjum	S	22949	B1
kahjustama	V	59526	B1
kahtlane	A	44245	B1
kahtlema	V	51408	B1
kahtlus	S	85987	B1
kahtlustama	V	42876	B1
kahvel	S	8880	A1
kaitse	S	172430	A2
kaitsepolitsei	S	18341	A2
kaitsevägi	S	67429	B1
kaitsja	S	32720	B1
kaitsma	V	210051	A2
kajakas	S	5361	B1
kajut	S	4647	B1
kaks	N	1526219	A1
kakskeelne	A	3111	B1
kakskümmend	N	29848	A1
kakssada	N	6785	A1
kaksteist	N	14057	A1
kala	S	135383	A1
kalamees	S	12584	A2
kalender	S	30880	B1
kalkun	S	3743	B1
kallale	D	13645	B1
kallale	K	14252	B1
kallas	S	57732	A2
kallis	A	155253	A1
kallistama	V	13550	B1
kalmistu	S	30413	A2
kama	S	9021	B1
kamin	S	11382	B1
kamm	S	5018	A2
kammima	V	7541	A2
kampaania	S	74092	A2
kampsun	S	12777	A2
kana	S	40637	A1
kanal	S	96515	B1
kanaliha	S	3284	A2
kanalisatsioon	S	13498	A2
kand	S	22189	B1
kandidaat	S	109183	A2
kandideerima	V	52256	B1
kandiline	A	5849	B1
kandma	V	405281	A2
kangas	S	26761	B1
kange	A	26985	B1
kangelane	S	27780	B1
kann	S	8645	A1
kannatama	V	124170	B1
kannatanu	S	24772	B1
kantselei	S	20300	A2
kaotaja	S	13783	B1
kaotama	V	280023	A2
kaotus	S	80734	B1
kapital	S	31802	A2
kapp	S	44990	A1
kapsas	S	15328	A1
kapten	S	42729	B1
kapuuts	S	3514	B1
karate	S	3301	B1
karbonaad	S	624	B1
kardin	S	13613	B1
kari	S	31230	B1
karikakar	S	1305	B1
karikas	S	24200	B1
karistama	V	56863	B1
karistus	S	76053	B1
karjuma	V	42770	A2
karjäär	S	67541	A2
kartlik	A	1866	B1
kartma	V	191425	A2
kartul	S	47858	A1
kartulisalat	S	2178	B1
karu	S	27528	A2
karusmari	S	781	B1
karv	S	27128	B1
karvane	A	14747	B1
kas	D	2248224	A1
kask	S	13407	B1
kass	S	124626	A1
kassa	S	19465	A2
kassipoeg	S	8444	A2
kast	S	59027	A2
kastan	S	5052	B1
kaste	S	28720	B1
kasu	S	190696	A2
kasuema	S	1557	B1
kasuisa	S	3387	B1
kasulik	A	119025	A2
kasum	S	82493	B1
kasutama	V	1364140	A1
kasutus	S	167328	B1
kasv	S	167392	A2
kasvama	V	412146	A1
kasvataja	S	29127	A2
kasvatama	V	120842	A2
kasvatus	S	25725	B1
kasvõi	D	78851	B1
kataloog	S	20139	B1
katastroof	S	24549	A2
kate	S	47985	A2
katkestama	V	44807	B1
katki	D	43970	A2
katki minema	V		A2
katki tegema	V		A2
katkine	A	14114	B1
katma	V	95192	B1
katoliiklane	S	7400	B1
katoliku	G	13208	A2
katse	S	110245	B1
katsetama	V	50315	B1
katsuma	V	47850	B1
katus	S	77163	A2
kaua	D	160439	A1
kauaks	D	17172	B1
kaubahall	S	1702	B1
kaubamaja	S	23661	A2
kaudu	K	308298	A1
kauge	A	33763	A2
kaugel	D	61421	A2
kaugele	D	58169	A2
kaugelt	D	26607	A2
